SlidesLive link,Title,unique ID,Organizer track name,SlidesLive link,embed code
slideslive.com/38931009,A Fast Spectral Algorithm for Mean Estimation with Sub-Gaussian Rates,110,Long (15 minutes),38931009,"<div id=""presentation-embed-38931009""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931009', {
        presentationId: '38931009',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931010,How to trap a gradient flow,119,Long (15 minutes),38931010,"<div id=""presentation-embed-38931010""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931010', {
        presentationId: '38931010',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931011,Near-Optimal Algorithms for Minimax Optimization,120,Long (15 minutes),38931011,"<div id=""presentation-embed-38931011""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931011', {
        presentationId: '38931011',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931012,Model-Based Reinforcement Learning with a Generative Model is Minimax Optimal,121,Long (15 minutes),38931012,"<div id=""presentation-embed-38931012""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931012', {
        presentationId: '38931012',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931013,Finite Time Analysis of Linear Two-timescale Stochastic Approximation with Markovian Noise,124,Long (15 minutes),38931013,"<div id=""presentation-embed-38931013""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931013', {
        presentationId: '38931013',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931014,Fast Rates for Online Prediction with Abstention,129,Long (15 minutes),38931014,"<div id=""presentation-embed-38931014""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931014', {
        presentationId: '38931014',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931015,Smooth Contextual Bandits: Bridging the Parametric and Non-differentiable Regret Regimes,133,Long (15 minutes),38931015,"<div id=""presentation-embed-38931015""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931015', {
        presentationId: '38931015',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931016,Data-driven confidence bands for distributed nonparametric regression,135,Long (15 minutes),38931016,"<div id=""presentation-embed-38931016""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931016', {
        presentationId: '38931016',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931017,Tsallis-INF for Decoupled Exploration and Exploitation in Multi-armed Bandits,140,Long (15 minutes),38931017,"<div id=""presentation-embed-38931017""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931017', {
        presentationId: '38931017',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931018,Pan-Private Uniformity Testing,141,Long (15 minutes),38931018,"<div id=""presentation-embed-38931018""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931018', {
        presentationId: '38931018',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931019,ODE-Inspired Analysis for the Biological Version of Oja’s Rule in Solving Streaming PCA,144,Long (15 minutes),38931019,"<div id=""presentation-embed-38931019""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931019', {
        presentationId: '38931019',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931020,Complexity Guarantees for Polyak Steps with Momentum,145,Long (15 minutes),38931020,"<div id=""presentation-embed-38931020""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931020', {
        presentationId: '38931020',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931021,Calibrated Surrogate Losses for Adversarially Robust Classification,148,Long (15 minutes),38931021,"<div id=""presentation-embed-38931021""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931021', {
        presentationId: '38931021',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931022,Near-Optimal Methods for Minimizing Star-Convex Functions and Beyond,161,Long (15 minutes),38931022,"<div id=""presentation-embed-38931022""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931022', {
        presentationId: '38931022',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931023,Faster Projection-free Online Learning,163,Long (15 minutes),38931023,"<div id=""presentation-embed-38931023""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931023', {
        presentationId: '38931023',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
slideslive.com/38931024,"Non-Stochastic Multi-Player Multi-Armed Bandits: Optimal Rate With Collision Information, Sublinear Without}",171,Long (15 minutes),38931024,"<div id=""presentation-embed-38931024""></div>
<script src='https://slideslive.com/embed_presentation.js'></script>
<script>
    embed = new SlidesLiveEmbed('presentation-embed-38931024', {
        presentationId: '38931024',
        autoPlay: false, // change to true to autoplay the embedded presentation
        verticalEnabled: true
    });
</script>"
